timestamp,meterid,voltagemagnitude,voltageangle,frequency
2013-04-22T08:59:26.000,40,1.019,33.52,59.988
2013-04-22T08:59:26.000,83,1.02,50.18,59.995
2013-04-22T08:59:26.000,23,1.024,0.0,59.995
2013-04-22T08:59:26.000,129,1.022,4.17,59.995
2013-04-22T08:59:26.000,44,1.025,30.26,59.995
2013-04-22T08:59:26.000,43,1.009,38.3,59.995
2013-04-22T08:59:26.000,118,1.026,26.51,59.995
2013-04-22T08:59:26.000,137,0.999,-4.51,59.995
2013-04-22T08:59:26.017,137,0.999,-4.51,59.994
2013-04-22T08:59:26.017,83,1.02,50.19,59.995
2013-04-22T08:59:26.017,44,1.025,30.26,59.995
2013-04-22T08:59:26.017,40,1.019,33.49,59.988
2013-04-22T08:59:26.017,43,1.009,38.3,59.995
2013-04-22T08:59:26.017,129,1.022,4.18,59.994
2013-04-22T08:59:26.017,23,1.024,0.0,59.994
2013-04-22T08:59:26.017,118,1.026,26.51,59.994
2013-04-22T08:59:26.033,44,1.025,30.27,59.994
2013-04-22T08:59:26.033,118,1.026,26.52,59.995
2013-04-22T08:59:26.033,43,1.008,38.31,59.994
2013-04-22T08:59:26.033,137,0.999,-4.51,59.994
2013-04-22T08:59:26.033,83,1.02,50.19,59.994
2013-04-22T08:59:26.033,23,1.024,0.0,59.993
2013-04-22T08:59:26.033,129,1.022,4.18,59.994
2013-04-22T08:59:26.033,40,1.02,33.45,59.988
2013-04-22T08:59:26.050,44,1.025,30.28,59.995
2013-04-22T08:59:26.050,40,1.02,33.42,59.988
2013-04-22T08:59:26.050,43,1.008,38.31,59.994
2013-04-22T08:59:26.050,118,1.026,26.53,59.995
2013-04-22T08:59:26.050,137,0.998,-4.51,59.994
2013-04-22T08:59:26.050,83,1.02,50.2,59.995
2013-04-22T08:59:26.050,129,1.022,4.18,59.994
2013-04-22T08:59:26.050,23,1.023,0.0,59.994
2013-04-22T08:59:26.067,44,1.025,30.28,59.994
2013-04-22T08:59:26.067,83,1.019,50.21,59.994
2013-04-22T08:59:26.067,23,1.023,0.0,59.993
2013-04-22T08:59:26.067,43,1.008,38.32,59.994
2013-04-22T08:59:26.067,118,1.026,26.54,59.994
2013-04-22T08:59:26.067,40,1.02,33.39,59.989
2013-04-22T08:59:26.067,137,0.998,-4.51,59.994
2013-04-22T08:59:26.067,129,1.022,4.19,59.994
